START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,PURPOSE*
2016-03-04 13:40:00,2016-03-04 14:09:00,First Class,Cary,Raleigh,15.7,Customer Visit
2016-03-04 19:02:00,2016-03-04 19:08:00,First Class,Cary,Morrisville,1.9,Temporary Site
2016-03-04 19:16:00,2016-03-04 19:25:00,First Class,Morrisville,Cary,2.0,Meal/Entertain
2016-03-05 11:44:00,2016-03-05 11:59:00,First Class,Cary,Morrisville,6.5,Meal/Entertain
2016-03-05 14:08:00,2016-03-05 14:18:00,Personal,Morrisville,Cary,3.5,
2016-03-05 16:52:00,2016-03-05 17:13:00,First Class,Cary,Morrisville,7.8,Meal/Entertain
2016-03-05 17:23:00,2016-03-05 17:34:00,First Class,Morrisville,Cary,3.9,Meal/Entertain
2016-03-07 09:23:00,2016-03-07 09:47:00,First Class,Cary,Raleigh,12.4,Customer Visit
2016-03-10 03:36:00,2016-03-10 03:53:00,First Class,Cary,Morrisville,8.4,Meeting
2016-03-22 12:06:00,2016-03-22 12:24:00,Personal,Morrisville,Cary,8.1,
2016-03-25 13:24:00,2016-03-25 16:22:00,First Class,Cary,Latta,144.0,Customer Visit
2016-04-07 18:20:00,2016-04-07 18:39:00,First Class,Cary,Morrisville,6.1,Meal/Entertain
2016-04-07 19:45:00,2016-04-07 20:00:00,First Class,Morrisville,Cary,6.1,Errand/Supplies
2016-04-08 12:30:00,2016-04-08 12:48:00,First Class,Cary,Durham,10.5,Meeting
2016-04-08 14:43:00,2016-04-08 15:20:00,First Class,Cary,Raleigh,19.1,Meeting
2016-04-12 09:34:00,2016-04-12 09:53:00,First Class,Cary,Raleigh,8.9,Meeting
2016-04-12 13:42:00,2016-04-12 14:01:00,First Class,Morrisville,Cary,6.5,Meal/Entertain
2016-04-14 07:29:00,2016-04-14 08:09:00,First Class,Cary,Holly Springs,15.3,Temporary Site
2016-04-15 11:36:00,2016-04-15 12:07:00,First Class,Cary,Raleigh,11.9,Temporary Site
2016-04-16 12:59:00,2016-04-16 13:17:00,First Class,Cary,Morrisville,6.0,Errand/Supplies
2016-04-16 15:10:00,2016-04-16 15:26:00,First Class,Morrisville,Cary,6.1,Meal/Entertain
2016-04-22 08:25:00,2016-04-22 09:04:00,First Class,Cary,Raleigh,13.6,Meeting
2016-04-22 12:08:00,2016-04-22 12:28:00,First Class,Cary,Durham,10.4,Meeting
2016-04-24 19:07:00,2016-04-24 19:16:00,First Class,Cary,Morrisville,3.1,Errand/Supplies
2016-04-24 21:41:00,2016-04-24 21:50:00,First Class,Morrisville,Cary,4.2,Between Offices
2016-04-28 12:09:00,2016-04-28 12:34:00,First Class,Cary,Raleigh,12.4,Customer Visit
2016-04-28 22:10:00,2016-04-28 22:28:00,First Class,Morrisville,Cary,5.5,Customer Visit
2016-04-29 11:44:00,2016-04-29 12:01:00,First Class,Cary,Durham,9.9,Meeting
2016-04-29 18:46:00,2016-04-29 19:18:00,First Class,Cary,Durham,14.2,Customer Visit
2016-05-03 22:20:00,2016-05-03 22:28:00,First Class,Morrisville,Cary,2.5,Meal/Entertain
2016-05-04 15:16:00,2016-05-04 15:37:00,First Class,Cary,Morrisville,8.7,Meal/Entertain
2016-05-06 17:18:00,2016-05-06 17:44:00,First Class,Morrisville,Cary,7.9,Customer Visit
2016-05-09 06:08:00,2016-05-09 06:25:00,First Class,Cary,Morrisville,8.4,Customer Visit
2016-05-11 21:47:00,2016-05-11 22:04:00,First Class,Morrisville,Cary,8.1,Meeting
2016-05-14 18:35:00,2016-05-14 18:39:00,First Class,Cary,Morrisville,3.1,Meal/Entertain
2016-05-14 23:01:00,2016-05-14 23:05:00,First Class,Morrisville,Cary,3.1,Meal/Entertain
2016-05-18 09:11:00,2016-05-18 09:41:00,First Class,Cary,Morrisville,8.4,Customer Visit
2016-05-18 13:00:00,2016-05-18 13:02:00,First Class,Morrisville,Raleigh,7.6,Customer Visit
2016-05-20 15:43:00,2016-05-20 16:12:00,First Class,Morrisville,Cary,8.2,Meal/Entertain
2016-05-22 15:39:00,2016-05-22 15:46:00,First Class,Cary,Morrisville,3.0,Meal/Entertain
2016-05-22 18:46:00,2016-05-22 18:53:00,First Class,Morrisville,Cary,2.5,Meal/Entertain
2016-05-28 12:52:00,2016-05-28 13:06:00,First Class,Cary,Morrisville,6.1,Meal/Entertain
2016-05-28 14:35:00,2016-05-28 15:04:00,First Class,Morrisville,Cary,11.3,Customer Visit
2016-05-31 13:54:00,2016-05-31 14:41:00,First Class,Cary,Raleigh,14.9,Meeting
2016-06-01 10:19:00,2016-06-01 10:47:00,First Class,Cary,Morrisville,6.7,Customer Visit
2016-06-01 13:10:00,2016-06-01 13:39:00,First Class,Morrisville,Cary,9.6,Meeting
2016-06-03 11:29:00,2016-06-03 11:49:00,First Class,Cary,Durham,10.4,Meeting
2016-06-03 15:31:00,2016-06-03 15:54:00,First Class,Cary,Morrisville,6.0,Meal/Entertain
2016-06-03 18:41:00,2016-06-03 18:53:00,First Class,Morrisville,Cary,3.1,Errand/Supplies
2016-06-03 22:47:00,2016-06-03 23:06:00,First Class,Morrisville,Cary,4.0,Between Offices
2016-06-05 15:06:00,2016-06-05 15:22:00,First Class,Cary,Morrisville,7.8,Customer Visit
2016-06-05 18:05:00,2016-06-05 18:14:00,First Class,Morrisville,Cary,2.5,Meal/Entertain
2016-06-05 21:53:00,2016-06-05 22:05:00,First Class,Cary,Durham,9.9,Meeting
2016-06-06 20:06:00,2016-06-06 20:20:00,First Class,Cary,Apex,5.7,Meal/Entertain
2016-06-06 21:41:00,2016-06-06 22:00:00,First Class,Cary,Durham,10.4,Meeting
2016-06-07 21:42:00,2016-06-07 22:00:00,First Class,Cary,Durham,10.4,Meeting
2016-06-08 08:23:00,2016-06-08 08:53:00,First Class,Cary,Morrisville,8.7,Meal/Entertain
2016-06-10 21:47:00,2016-06-10 22:04:00,First Class,Cary,Durham,10.4,Meeting
2016-06-11 17:08:00,2016-06-11 17:16:00,First Class,Cary,Morrisville,3.7,Errand/Supplies
2016-06-11 17:34:00,2016-06-11 17:39:00,First Class,Morrisville,Cary,4.6,Meal/Entertain
2016-06-11 21:45:00,2016-06-11 22:04:00,First Class,Cary,Durham,10.4,Meeting
2016-06-12 19:53:00,2016-06-12 19:56:00,First Class,Cary,Morrisville,2.5,Meal/Entertain
2016-06-12 20:05:00,2016-06-12 20:16:00,First Class,Morrisville,Cary,4.3,Errand/Supplies
2016-06-13 05:23:00,2016-06-13 05:42:00,First Class,Cary,Morrisville,8.4,Meal/Entertain
2016-06-18 00:29:00,2016-06-18 00:51:00,First Class,Morrisville,Cary,8.7,
2016-06-19 02:39:00,2016-06-19 02:50:00,First Class,Cary,Raleigh,6.0,
2016-06-21 15:39:00,2016-06-21 16:08:00,First Class,Cary,Raleigh,19.3,
2016-06-24 12:19:00,2016-06-24 12:37:00,First Class,Cary,Raleigh,8.6,Errand/Supplies
2016-06-24 13:18:00,2016-06-24 13:27:00,First Class,Morrisville,Cary,3.1,Errand/Supplies
2016-06-24 14:01:00,2016-06-24 14:20:00,First Class,Cary,Morrisville,8.4,Temporary Site
2016-06-28 00:48:00,2016-06-28 01:05:00,First Class,Morrisville,Cary,8.2,Customer Visit
2016-06-28 20:13:00,2016-06-28 20:33:00,First Class,Cary,Durham,10.4,Meeting
2016-06-29 08:56:00,2016-06-29 09:24:00,First Class,Cary,Morrisville,7.3,
2016-06-29 10:22:00,2016-06-29 10:38:00,First Class,Morrisville,Cary,7.4,
2016-06-29 20:11:00,2016-06-29 20:29:00,First Class,Cary,Durham,10.4,Meeting
2016-06-30 20:09:00,2016-06-30 20:26:00,First Class,Cary,Durham,9.9,Meeting
2016-07-01 09:34:00,2016-07-01 09:57:00,First Class,Cary,Raleigh,13.3,Meeting
2016-07-01 20:06:00,2016-07-01 20:24:00,First Class,Cary,Durham,10.5,Meeting
2016-07-02 20:18:00,2016-07-02 20:36:00,First Class,Cary,Durham,10.1,Meeting
2016-07-03 00:28:00,2016-07-03 00:38:00,First Class,Cary,Morrisville,3.1,Errand/Supplies
2016-07-03 03:02:00,2016-07-03 03:08:00,First Class,Morrisville,Cary,3.1,Errand/Supplies
2016-07-03 20:00:00,2016-07-03 20:18:00,First Class,Cary,Durham,9.9,Meeting
2016-07-04 20:00:00,2016-07-04 20:17:00,First Class,Cary,Durham,11.8,Meeting
2016-07-05 20:06:00,2016-07-05 20:26:00,First Class,Cary,Durham,9.9,
2016-07-06 00:33:00,2016-07-06 00:53:00,First Class,Morrisville,Cary,6.3,Meal/Entertain
2016-07-06 09:06:00,2016-07-06 09:25:00,First Class,Cary,Durham,9.9,Meeting
2016-07-06 20:04:00,2016-07-06 20:14:00,First Class,Cary,Morrisville,3.3,Meal/Entertain
2016-07-06 23:46:00,2016-07-06 23:59:00,First Class,Morrisville,Cary,3.1,Customer Visit
2016-07-07 08:22:00,2016-07-07 08:50:00,First Class,Cary,Morrisville,7.9,Temporary Site
2016-07-07 10:27:00,2016-07-07 10:33:00,First Class,Morrisville,Cary,8.9,
2016-07-12 23:47:00,2016-07-13 00:11:00,Personal,Morrisville,Cary,8.7,
2016-07-13 12:39:00,2016-07-13 13:20:00,Personal,Cary,Morrisville,23.5,
2016-07-13 13:25:00,2016-07-13 13:39:00,Personal,Morrisville,Morrisville,2.2,
2016-07-13 13:42:00,2016-07-13 13:54:00,Personal,Morrisville,Cary,4.4,
2016-07-14 15:51:00,2016-07-14 15:59:00,Personal,Cary,Morrisville,3.3,
2016-07-14 16:03:00,2016-07-14 16:34:00,First Class,Morrisville,Morrisville,11.8,Errand/Supplies
2016-07-14 16:39:00,2016-07-14 20:05:00,First Class,Morrisville,Banner Elk,195.3,
2016-07-18 10:37:00,2016-07-18 10:49:00,Personal,Cary,Morrisville,4.1,Moving
2016-07-18 10:54:00,2016-07-18 11:15:00,Personal,Morrisville,Cary,6.1,Moving
2016-07-18 17:12:00,2016-07-18 17:33:00,First Class,Cary,Apex,7.2,Meeting
2016-07-18 19:07:00,2016-07-18 19:14:00,First Class,Cary,Morrisville,3.3,Meal/Entertain
2016-07-18 21:11:00,2016-07-18 21:19:00,First Class,Morrisville,Cary,3.8,Meal/Entertain
2016-07-21 18:27:00,2016-07-21 18:42:00,First Class,Cary,Morrisville,3.7,
2016-07-21 19:30:00,2016-07-21 19:39:00,First Class,Morrisville,Cary,2.9,
2016-07-22 10:42:00,2016-07-22 10:53:00,First Class,Cary,Morrisville,3.8,
2016-07-22 11:11:00,2016-07-22 11:25:00,First Class,Morrisville,Cary,5.1,
2016-07-22 12:14:00,2016-07-22 12:31:00,First Class,Cary,Durham,8.0,
2016-07-22 14:27:00,2016-07-22 14:43:00,First Class,Cary,Morrisville,6.1,Meal/Entertain
2016-07-22 15:49:00,2016-07-22 16:22:00,First Class,Morrisville,Cary,12.2,
2016-07-23 14:27:00,2016-07-23 14:44:00,First Class,Cary,Morrisville,4.0,
2016-07-23 14:48:00,2016-07-23 15:12:00,First Class,Morrisville,Cary,9.5,
2016-07-23 15:15:00,2016-07-23 15:27:00,First Class,Cary,Morrisville,3.0,
2016-07-23 15:50:00,2016-07-23 16:10:00,First Class,Morrisville,Cary,6.3,
2016-07-23 20:17:00,2016-07-23 20:33:00,First Class,Cary,Durham,10.4,Meeting
2016-07-25 10:47:00,2016-07-25 10:58:00,First Class,Cary,Morrisville,4.9,
2016-07-25 11:04:00,2016-07-25 11:33:00,First Class,Morrisville,Cary,7.9,
2016-07-26 20:52:00,2016-07-26 21:00:00,First Class,Cary,Morrisville,2.5,Meal/Entertain
2016-07-26 22:31:00,2016-07-26 22:39:00,First Class,Morrisville,Cary,2.5,Meal/Entertain
2016-07-27 19:08:00,2016-07-27 19:20:00,First Class,Cary,Morrisville,2.8,
2016-07-27 21:34:00,2016-07-27 21:57:00,First Class,Morrisville,Raleigh,14.7,
2016-07-28 00:04:00,2016-07-28 00:09:00,First Class,Morrisville,Cary,2.3,
2016-07-30 17:02:00,2016-07-30 17:27:00,First Class,Cary,Durham,14.0,
2016-08-01 13:52:00,2016-08-01 14:14:00,First Class,Cary,Apex,6.9,
2016-08-01 16:29:00,2016-08-01 16:59:00,First Class,Cary,Morrisville,9.1,
2016-08-01 17:23:00,2016-08-01 17:55:00,First Class,Morrisville,Cary,8.1,
2016-08-02 08:11:00,2016-08-02 08:32:00,First Class,Cary,Morrisville,8.4,Meeting
2016-08-06 09:31:00,2016-08-06 09:53:00,First Class,Morrisville,Cary,8.0,
2016-08-07 18:17:00,2016-08-07 18:23:00,First Class,Cary,Morrisville,2.5,
2016-08-07 20:15:00,2016-08-07 20:23:00,First Class,Morrisville,Cary,2.5,Meal/Entertain
2016-08-08 21:50:00,2016-08-08 22:15:00,First Class,Cary,Morrisville,4.8,
2016-08-08 23:28:00,2016-08-08 23:37:00,First Class,Morrisville,Cary,3.2,Customer Visit
2016-08-09 15:15:00,2016-08-09 15:36:00,First Class,Cary,Raleigh,14.9,
2016-08-10 16:56:00,2016-08-10 17:24:00,First Class,Cary,Durham,12.9,
2016-08-11 18:37:00,2016-08-11 19:29:00,First Class,Cary,Wake Forest,31.7,
2016-08-13 15:35:00,2016-08-13 15:58:00,First Class,Cary,Morrisville,8.4,Meeting
2016-10-15 22:28:00,2016-10-15 22:48:00,First Class,Morrisville,Morrisville,6.2,
2016-10-16 00:01:00,2016-10-16 00:14:00,First Class,Morrisville,Cary,3.1,
2016-10-16 12:52:00,2016-10-16 13:11:00,First Class,Cary,Durham,10.5,Meeting
2016-10-16 15:10:00,2016-10-16 15:19:00,First Class,Morrisville,Cary,3.1,
2016-10-16 20:30:00,2016-10-16 20:39:00,First Class,Cary,Morrisville,4.3,
2016-10-16 21:34:00,2016-10-16 21:41:00,First Class,Morrisville,Cary,2.5,Meal/Entertain
2016-10-17 15:19:00,2016-10-17 15:57:00,First Class,Cary,Raleigh,20.6,
2016-10-17 18:02:00,2016-10-17 18:16:00,First Class,Cary,Apex,5.6,
2016-10-18 10:41:00,2016-10-18 11:09:00,First Class,Cary,Morrisville,7.9,Temporary Site
2016-10-22 00:54:00,2016-10-22 01:09:00,First Class,Morrisville,Cary,8.7,
2016-10-22 13:26:00,2016-10-22 14:03:00,First Class,Cary,Raleigh,17.2,
2016-10-23 09:24:00,2016-10-23 10:05:00,First Class,Cary,Raleigh,28.1,
2016-10-23 19:04:00,2016-10-23 19:14:00,First Class,Cary,Morrisville,3.1,Meal/Entertain
2016-10-23 21:10:00,2016-10-23 21:25:00,First Class,Morrisville,Cary,3.1,Customer Visit
2016-10-24 14:57:00,2016-10-24 15:26:00,First Class,Cary,Durham,16.4,
2016-10-24 16:34:00,2016-10-24 16:41:00,First Class,Morrisville,Cary,2.2,
2016-10-25 13:27:00,2016-10-25 14:08:00,First Class,Cary,Apex,11.2,
2016-10-27 18:51:00,2016-10-27 19:16:00,First Class,Cary,Morrisville,8.4,Meeting
2016-10-27 19:20:00,2016-10-27 19:35:00,First Class,Morrisville,Morrisville,5.9,
2016-10-27 21:26:00,2016-10-27 21:48:00,First Class,Morrisville,Cary,6.2,
2016-10-28 11:34:00,2016-10-28 11:52:00,First Class,Cary,Durham,10.4,Meeting
2016-10-28 15:53:00,2016-10-28 17:59:00,First Class,Cary,Winston Salem,107.0,Meeting
2016-10-31 18:11:00,2016-10-31 18:20:00,First Class,Cary,Morrisville,3.2,
2016-10-31 18:47:00,2016-10-31 19:16:00,First Class,Morrisville,Raleigh,10.3,
2016-11-01 11:50:00,2016-11-01 12:27:00,First Class,Cary,Durham,16.5,
2016-11-02 16:46:00,2016-11-02 17:11:00,First Class,Cary,Morrisville,8.5,Meeting
2016-11-02 17:34:00,2016-11-02 17:49:00,First Class,Morrisville,Morrisville,5.0,
2016-11-02 17:53:00,2016-11-02 18:00:00,First Class,Morrisville,Cary,3.8,
2016-11-03 18:51:00,2016-11-03 19:08:00,First Class,Cary,Morrisville,3.1,Meal/Entertain
2016-11-03 22:46:00,2016-11-03 22:58:00,First Class,Morrisville,Cary,3.1,Customer Visit
2016-11-04 10:02:00,2016-11-04 10:18:00,First Class,Cary,Morrisville,7.9,Temporary Site
2016-11-18 20:09:00,2016-11-18 20:19:00,First Class,Cary,Morrisville,3.1,Meal/Entertain
2016-11-18 21:23:00,2016-11-18 21:34:00,First Class,Morrisville,Cary,5.2,Meal/Entertain
2016-11-19 13:51:00,2016-11-19 14:10:00,First Class,Cary,Durham,10.3,Meeting
2016-11-19 16:01:00,2016-11-19 16:06:00,First Class,Cary,Cary,1.5,
2016-11-19 16:27:00,2016-11-19 16:41:00,First Class,Cary,Cary,1.8,
2016-11-19 17:41:00,2016-11-19 17:54:00,First Class,Cary,Apex,5.4,Errand/Supplies
2016-11-20 10:27:00,2016-11-20 11:32:00,First Class,Cary,Cary,39.2,Between Offices
2016-11-20 11:58:00,2016-11-20 12:28:00,First Class,Cary,Cary,6.4,Customer Visit
2016-11-20 14:58:00,2016-11-20 15:07:00,First Class,Cary,Cary,2.7,Meeting
2016-11-20 17:45:00,2016-11-20 18:37:00,First Class,Cary,Cary,18.5,Errand/Supplies
2016-11-21 13:37:00,2016-11-21 13:49:00,First Class,Cary,Cary,2.5,Meal/Entertain
2016-11-21 14:34:00,2016-11-21 14:44:00,First Class,Cary,Cary,2.1,Meal/Entertain
2016-11-21 17:50:00,2016-11-21 18:04:00,First Class,Cary,Unknown Location,6.7,Errand/Supplies
2016-11-21 18:43:00,2016-11-21 18:51:00,First Class,Morrisville,Cary,3.4,Errand/Supplies
2016-11-22 15:12:00,2016-11-22 15:27:00,First Class,Cary,Cary,5.5,Meeting
2016-11-22 15:31:00,2016-11-22 15:44:00,First Class,Cary,Cary,4.1,Meeting
2016-11-22 15:51:00,2016-11-22 16:43:00,First Class,Cary,Cary,12.7,Customer Visit
2016-11-22 18:18:00,2016-11-22 18:28:00,First Class,Cary,Morrisville,3.0,Meal/Entertain
2016-11-22 21:02:00,2016-11-22 21:14:00,First Class,Morrisville,Cary,3.5,Customer Visit
2016-11-23 15:34:00,2016-11-23 15:50:00,First Class,Cary,Cary,5.9,Meal/Entertain
2016-11-23 16:18:00,2016-11-23 16:29:00,First Class,Cary,Cary,1.9,
2016-11-23 16:49:00,2016-11-23 17:00:00,First Class,Cary,Cary,3.3,
2016-11-23 18:37:00,2016-11-23 18:47:00,First Class,Cary,Cary,1.3,
2016-11-25 11:47:00,2016-11-25 12:04:00,First Class,Cary,Durham,10.3,Meeting
2016-11-26 15:54:00,2016-11-26 15:59:00,First Class,Cary,Cary,1.4,
2016-11-26 17:00:00,2016-11-26 17:12:00,First Class,Cary,Apex,5.1,Meeting
2016-11-26 19:47:00,2016-11-26 19:54:00,First Class,Cary,Cary,2.5,Errand/Supplies
2016-11-27 15:59:00,2016-11-27 16:06:00,First Class,Cary,Morrisville,3.3,Meal/Entertain
2016-11-27 18:55:00,2016-11-27 19:09:00,First Class,Morrisville,Cary,2.9,
2016-11-30 11:03:00,2016-11-30 11:34:00,First Class,Cary,Raleigh,8.5,Customer Visit
2016-11-30 12:43:00,2016-11-30 12:53:00,First Class,Morrisville,Cary,3.1,
2016-12-01 07:44:00,2016-12-01 07:59:00,First Class,Cary,Cary,5.5,Meeting
2016-12-01 08:37:00,2016-12-01 08:53:00,First Class,Cary,Cary,5.5,Errand/Supplies
2016-12-01 18:00:00,2016-12-01 18:12:00,First Class,Cary,Morrisville,2.9,Meal/Entertain
2016-12-01 20:36:00,2016-12-01 20:46:00,First Class,Morrisville,Cary,2.9,Customer Visit
2016-12-02 12:12:00,2016-12-02 12:23:00,First Class,Cary,Apex,5.1,Meal/Entertain
2016-12-02 20:41:00,2016-12-02 20:48:00,First Class,Cary,Morrisville,3.3,Meal/Entertain
2016-12-02 22:59:00,2016-12-02 23:07:00,First Class,Morrisville,Cary,3.0,Customer Visit
2016-12-03 18:35:00,2016-12-03 18:56:00,First Class,Cary,Wake Co.,6.6,Errand/Supplies
2016-12-03 20:31:00,2016-12-03 20:41:00,First Class,Morrisville,Cary,3.0,Customer Visit
2016-12-04 18:56:00,2016-12-04 19:03:00,First Class,Cary,Morrisville,2.9,Meal/Entertain
2016-12-04 20:23:00,2016-12-04 20:34:00,First Class,Morrisville,Cary,3.4,Customer Visit
2016-12-05 18:04:00,2016-12-05 18:17:00,First Class,Cary,Cary,4.1,
2016-12-05 19:22:00,2016-12-05 19:37:00,First Class,Cary,Cary,3.8,Meal/Entertain
2016-12-07 12:03:00,2016-12-07 12:32:00,First Class,Cary,Cary,6.6,Meeting
2016-12-07 12:35:00,2016-12-07 12:46:00,First Class,Cary,Cary,4.0,Meeting
2016-12-07 19:53:00,2016-12-07 20:13:00,First Class,Cary,Cary,7.0,Customer Visit
2016-12-07 21:13:00,2016-12-07 21:50:00,First Class,Cary,Cary,6.9,Meal/Entertain
2016-12-08 14:19:00,2016-12-08 14:32:00,First Class,Cary,Cary,3.4,Errand/Supplies
2016-12-08 14:53:00,2016-12-08 15:02:00,First Class,Cary,Cary,3.4,Errand/Supplies
2016-12-08 19:22:00,2016-12-08 19:27:00,First Class,Cary,Cary,2.0,Meeting
2016-12-08 21:26:00,2016-12-08 21:31:00,First Class,Cary,Cary,2.0,Errand/Supplies
2016-12-09 12:09:00,2016-12-09 12:24:00,First Class,Cary,Apex,5.1,Errand/Supplies
2016-12-09 20:11:00,2016-12-09 20:34:00,First Class,Cary,Cary,5.6,Meeting
2016-12-09 22:03:00,2016-12-09 22:57:00,First Class,Cary,Cary,18.9,Customer Visit
2016-12-10 12:43:00,2016-12-10 13:16:00,First Class,Cary,Fuquay-Varina,15.6,Meeting
2016-12-10 18:17:00,2016-12-10 18:27:00,First Class,Cary,Morrisville,3.0,Meal/Entertain
2016-12-10 22:09:00,2016-12-10 22:21:00,First Class,Morrisville,Cary,3.1,Customer Visit
2016-12-11 16:06:00,2016-12-11 16:16:00,First Class,Cary,Morrisville,3.0,Meal/Entertain
2016-12-11 19:05:00,2016-12-11 19:15:00,First Class,Morrisville,Cary,4.8,Errand/Supplies
2016-12-11 21:48:00,2016-12-11 21:56:00,First Class,Cary,Cary,2.1,Errand/Supplies
2016-12-12 13:22:00,2016-12-12 13:32:00,First Class,Cary,Cary,3.1,Errand/Supplies
2016-12-12 13:36:00,2016-12-12 13:51:00,First Class,Cary,Apex,4.4,Meal/Entertain
2016-12-12 17:51:00,2016-12-12 18:01:00,First Class,Cary,Morrisville,3.0,Meal/Entertain
2016-12-12 20:48:00,2016-12-12 20:57:00,First Class,Morrisville,Cary,3.0,Customer Visit
2016-12-13 18:19:00,2016-12-13 18:29:00,First Class,Cary,Cary,4.2,Errand/Supplies
2016-12-13 20:20:00,2016-12-13 20:29:00,First Class,Cary,Cary,4.1,Meal/Entertain
2016-12-14 16:52:00,2016-12-14 17:10:00,First Class,Cary,Cary,3.4,
2016-12-14 17:22:00,2016-12-14 17:34:00,First Class,Cary,Cary,3.3,
